frequency_rank,character,pinyin
48165,谢恩,xie en
48166,前途无量,qian tu wu liang
48167,德鲁克,de lu ke
48168,那黑,na hei
48169,关节囊,guan jie nang
48170,寄居,ji ju
48171,咿,yi
48172,老江湖,lao jiang hu
48173,良友,liang you
48174,明察暗访,ming cha an fang
48175,祯,zhen
48176,跑龙套,pao long tao
48177,洛杉矶湖,luo shan ji hu
48178,钇,yi
48179,快马加鞭,kuai ma jia bian
48180,左权,zuo quan
48181,助跑,zhu pao
48182,红杏出墙,hong xing chu qiang
48183,商人们,shang ren men
48184,垡,fa
48185,拆毁,chai hui
48186,自律性,zi lv xing
48187,火坑,huo keng
48188,铁制,tie zhi
48189,第五版,di wu ban
48190,会通,hui tong
48191,讲价,jiang jia
48192,心细,xin xi
48193,薄利多销,bo li duo xiao
48194,唐纳德,tang na de
48195,乐凯,le kai
48196,赵雅芝,zhao ya zhi
48197,喑,yin
48198,合川,he chuan
48199,勉力,mian li
48200,大教堂,da jiao tang
48201,佐剂,zuo ji
48202,贤人,xian ren
48203,第十六次,di shi liu ci
48204,百年不遇,bai nian bu yu
48205,宝盒,bao he
48206,格里芬,ge li fen
48207,扉页,fei ye
48208,阿尔卑斯,a er bei si
48209,陈强,chen qiang
48210,纹样,wen yang
48211,畏缩,wei suo
48212,交班,jiao ban
48213,高深莫测,gao shen mo ce
48214,设伏,she fu
48215,劳务人员,lao wu ren yuan
48216,天灾人祸,tian zai ren huo
48217,面盆,mian pen
48218,小蔡,xiao cai
48219,分类法,fen lei fa
48220,小题大做,xiao ti da zuo
48221,小保姆,xiao bao mu
48222,湖南路,hu nan lu
48223,高攀,gao pan
48224,安阳市,an yang shi
48225,泣鬼神,qi gui shen
48226,浸渍,jin zi
48227,唱段,chang duan
48228,许嵩,xu song
48229,钢针,gang zhen
48230,甲状腺素,jia zhuang xian su
48231,登山队,deng shan dui
48232,氯化钾,lv hua jia
48233,册子,ce zi
48234,受奖,shou jiang
48235,马俊仁,ma jun ren
48236,小市民,xiao shi min
48237,斯蒂芬,si di fen
48238,国民教育,guo min jiao yu
48239,试看,shi kan
48240,考据,kao ju
48241,人生地不熟,ren sheng di bu shu
48242,本朝,ben chao
48243,形象化,xing xiang hua
48244,幼稚园,you zhi yuan
48245,叶面积,ye mian ji
48246,鱼油,yu you
48247,小铁,xiao tie
48248,地网,di wang
48249,以德治国,yi de zhi guo
48250,罪大恶极,zui da e ji
48251,止水,zhi shui
48252,就势,jiu shi
48253,连坐,lian zuo
48254,骸骨,hai gu
48255,科尔沁,ke er qin
48256,浆料,jiang liao
48257,兑换券,dui huan quan
48258,老瓦,lao wa
48259,离境,li jing
48260,古训,gu xun
48261,域中,yu zhong
48262,承销团,cheng xiao tuan
48263,楽,le
48264,备齐,bei qi
48265,美利坚,mei li jian
48266,磬,qing
48267,闷头,men tou
48268,托拉斯,tuo la si
48269,炒股票,chao gu piao
48270,星级饭店,xing ji fan dian
48271,鄂州,e zhou
48272,第十三次,di shi san ci
48273,喈,jie
48274,上虞,shang yu
48275,缧,lei
48276,位面,wei mian
48277,综合化,zong he hua
48278,色彩艳丽,se cai yan li
48279,测报,ce bao
48280,颠倒黑白,dian dao hei bai
48281,天旋地转,tian xuan di zhuan
48282,杨阳,yang yang
48283,回电话,hui dian hua
48284,罗雅尔,luo ya er
48285,科威特队,ke wei te dui
48286,恶言,e yan
48287,宋子文,song zi wen
48288,工程师们,gong cheng shi men
48289,胰管,yi guan
48290,老崔,lao cui
48291,前仆后继,qian pu hou ji
48292,夸夸其谈,kua kua qi tan
48293,不连续,bu lian xu
48294,低能耗,di neng hao
48295,国宴,guo yan
48296,搴,qian
48297,裢,lian
48298,李云迪,li yun di
48299,愚公,yu gong
48300,鱼干,yu gan
48301,边塞,bian sai
48302,王新欣,wang xin xin
48303,耀武扬威,yao wu yang wei
48304,叶家,ye jia
48305,黄莺,huang ying
48306,东安,dong an
48307,南明,nan ming
48308,出勤率,chu qin lv
48309,识相,shi xiang
48310,书斋,shu zhai
48311,赊,she
48312,弱不禁风,ruo bu jin feng
48313,穆图,mu tu
48314,当朝,dang chao
48315,半圆,ban yuan
48316,准星,zhun xing
48317,劳顿,lao dun
48318,都匀市,dou yun shi
48319,天文望远镜,tian wen wang yuan jing
48320,利比,li bi
48321,头牌,tou pai
48322,满员,man yuan
48323,官办,guan ban
48324,一箭之仇,yi jian zhi chou
48325,辩论会,bian lun hui
48326,打杂,da za
48327,王权,wang quan
48328,公转,gong zhuan
48329,饱览,bao lan
48330,强压,qiang ya
48331,御前,yu qian
48332,各样,ge yang
48333,查缉,cha ji
48334,秋香,qiu xiang
48335,护膝,hu xi
48336,入乡随俗,ru xiang sui su
48337,费神,fei shen
48338,扭捏,niu nie
48339,鼎力,ding li
48340,扣发,kou fa
48341,反复无常,fan fu wu chang
48342,灼灼,zhuo zhuo
48343,视死如归,shi si ru gui
48344,朝西,chao xi
48345,视盘,shi pan
48346,大肉,da rou
48347,分崩离析,fen beng li xi
48348,口外,kou wai
48349,神圣使命,shen sheng shi ming
48350,德国足协,de guo zu xie
48351,特鲁西埃,te lu xi ai
48352,试纸,shi zhi
48353,家属们,jia shu men
48354,两面派,liang mian pai
48355,呼喝,hu he
48356,冷酷无情,leng ku wu qing
48357,消弭,xiao mi
48358,半里,ban li
48359,立法程序,li fa cheng xu
48360,萧山市,xiao shan shi
48361,病入膏肓,bing ru gao huang
48362,领赏,ling shang
48363,嘀嘀,di di
48364,十字军,shi zi jun
48365,接触面,jie chu mian
48366,笊,zhao
48367,下嫁,xia jia
48368,无线电视,wu xian dian shi
48369,代表人士,dai biao ren shi
48370,隧,sui
48371,电影业,dian ying ye
48372,草甸,cao dian
48373,咕噜咕噜,gu lu gu lu
48374,嘌呤,piao ling
48375,转售,zhuan shou
48376,石城,shi cheng
48377,搬出去,ban chu qu
48378,指法,zhi fa
48379,茶点,cha dian
48380,单品,dan pin
48381,收费政策,shou fei zheng ce
48382,长得丑,zhang de chou
48383,第四批,di si pi
48384,掩人耳目,yan ren er mu
48385,信息源,xin xi yuan
48386,娶老婆,qu lao po
48387,秋粮,qiu liang
48388,愁苦,chou ku
48389,梅香,mei xiang
48390,模数,mo shu
48391,待岗,dai gang
48392,平潭,ping tan
48393,斯琴高娃,si qin gao wa
48394,筵,yan
48395,寵,chong
48396,艺员,yi yuan
48397,开足马力,kai zu ma li
48398,面店,mian dian
48399,武安,wu an
48400,丧葬费,sang zang fei
48401,跻,ji
48402,正路,zheng lu
48403,季雁萍,ji yan ping
48404,电话铃,dian hua ling
48405,鬼斧神工,gui fu shen gong
48406,迁延,qian yan
48407,戊戌,wu xu
48408,遥测,yao ce
48409,地线,di xian
48410,刘青云,liu qing yun
48411,失物,shi wu
48412,训练局,xun lian ju
48413,增光,zeng guang
48414,腰板,yao ban
48415,容祖儿,rong zu er
48416,佛州,fu zhou
48417,授奖,shou jiang
48418,酥脆,su cui
48419,下泄,xia xie
48420,信口开河,xin kou kai he
48421,短池,duan chi
48422,田某,tian mou
48423,帮工,bang gong
48424,痛击,tong ji
48425,中科健,zhong ke jian
48426,深圳湾,shen zhen wan
48427,免冠,mian guan
48428,苍劲,cang jing
48429,招摇过市,zhao yao guo shi
48430,抑制率,yi zhi lv
48431,误事,wu shi
48432,矿渣,kuang zha
48433,洋鬼子,yang gui zi
48434,到案,dao an
48435,寝宫,qin gong
48436,应用型,ying yong xing
48437,笑容可掬,xiao rong ke ju
48438,治罪,zhi zui
48439,上海城,shang hai cheng
48440,渔人,yu ren
48441,菜色,cai se
48442,华建敏,hua jian min
48443,海埂,hai geng
48444,联合国总部,lian he guo zong bu
48445,侯耀文,hou yao wen
48446,垃圾车,la ji che
48447,贮备,zhu bei
48448,洪秀全,hong xiu quan
48449,异己,yi ji
48450,死路,si lu
48451,喂饱,wei bao
48452,并网,bing wang
48453,针眼,zhen yan
48454,永磁,yong ci
48455,夜袭,ye xi
48456,注塑,zhu su
48457,远房,yuan fang
48458,甲午战争,jia wu zhan zheng
48459,兰亭,lan ting
48460,云舒,yun shu
48461,陈晓东,chen xiao dong
48462,羧,suo
48463,人寰,ren huan
48464,两淮,liang huai
48465,聚敛,ju lian
48466,大是大非,da shi da fei
48467,报考者,bao kao zhe
48468,擠,ji
48469,奇形怪状,qi xing guai zhuang
48470,清障,qing zhang
48471,袁先生,yuan xian sheng
48472,凤阳,feng yang
48473,鱼皮,yu pi
48474,沙僧,sha seng
48475,颠沛流离,dian pei liu li
48476,果时,guo shi
48477,績,ji
48478,不点,bu dian
48479,刘力扬,liu li yang
48480,羽坛,yu tan
48481,等等方面,deng deng fang mian
48482,杀菌剂,sha jun ji
48483,主攻手,zhu gong shou
48484,四小龙,si xiao long
48485,可编程,ke bian cheng
48486,民航业,min hang ye
48487,会试,hui shi
48488,张总,zhang zong
48489,高宗,gao zong
48490,毛领,mao ling
48491,云雨,yun yu
48492,破门而入,po men er ru
48493,众说,zhong shuo
48494,金鹏,jin peng
48495,一见倾心,yi jian qing xin
48496,济公,ji gong
48497,法赫德,fa he de
48498,孙纲,sun gang
48499,绝收,jue shou
48500,重放,zhong fang
48501,正大光明,zheng da guang ming
48502,质优价廉,zhi you jia lian
48503,浓妆艳抹,nong zhuang yan mo
48504,近些,jin xie
48505,鹤立鸡群,he li ji qun
48506,同谋,tong mou
48507,婆婆妈妈,po po ma ma
48508,呙,guo
48509,新郑,xin zheng
48510,无话不谈,wu hua bu tan
48511,封沙,feng sha
48512,鹕,hu
48513,录音室,lu yin shi
48514,尴,gan
48515,尽忠,jin zhong
48516,刘毅,liu yi
48517,文质彬彬,wen zhi bin bin
48518,封信,feng xin
48519,易变,yi bian
48520,载誉,zai yu
48521,避嫌,bi xian
48522,钟云,zhong yun
48523,越轨,yue gui
48524,枝干,zhi gan
48525,任选,ren xuan
48526,普鲁士,pu lu shi
48527,芸芸,yun yun
48528,经纪商,jing ji shang
48529,柳眉,liu mei
48530,山穷水尽,shan qiong shui jin
48531,扼腕,e wan
48532,富阳市,fu yang shi
48533,权衡利弊,quan heng li bi
48534,脘,wan
48535,毁约,hui yue
48536,剃须,ti xu
48537,模模糊糊,mo mo hu hu
48538,自作自受,zi zuo zi shou
48539,六分之一,liu fen zhi yi
48540,良家,liang jia
48541,忆苦思甜,yi ku si tian
48542,中国游泳队,zhong guo you yong dui
48543,白金汉宫,bai jin han gong
48544,喾,ku
48545,李昂,li ang
48546,喝问,he wen
48547,更难以,geng nan yi
48548,编辑器,bian ji qi
48549,通话费,tong hua fei
48550,智育,zhi yu
48551,奥马尔,ao ma er
48552,迪奥,di ao
48553,副司令,fu si ling
48554,水潭,shui tan
48555,瑚,hu
48556,董洁,dong jie
48557,反客为主,fan ke wei zhu
48558,锣鼓喧天,luo gu xuan tian
48559,生物素,sheng wu su
48560,标准高,biao zhun gao
48561,廁,ce
48562,老好人,lao hao ren
48563,避重就轻,bi zhong jiu qing
48564,汽轮机,qi lun ji
48565,觑,qu
48566,改革派,gai ge pai
48567,边境线,bian jing xian
48568,自动步枪,zi dong bu qiang
48569,陈师傅,chen shi fu
48570,蹦跳,beng tiao
48571,张保庆,zhang bao qing
48572,贵姓,gui xing
48573,摩尔多瓦,mo er duo wa
48574,杰西卡,jie xi ka
48575,真刀真枪,zhen dao zhen qiang
48576,徘,pai
48577,盐商,yan shang
48578,坦陈,tan chen
48579,犁田,li tian
48580,混账,hun zhang
48581,甜酒,tian jiu
48582,胡家,hu jia
48583,缝补,feng bu
48584,唐古拉山,tang gu la shan
48585,拱门,gong men
48586,杨学庆,yang xue qing
48587,李克强,li ke qiang
48588,吡啶,bi ding
48589,揽客,lan ke
48590,丙氨酸,bing an suan
48591,锍,liu
48592,逃出去,tao chu qu
48593,勋爵,xun jue
48594,崇山峻岭,chong shan jun ling
48595,供词,gong ci
48596,柯景腾,ke jing teng
48597,貪,tan
48598,扬州大学,yang zhou da xue
48599,朱基,zhu ji
48600,中装,zhong zhuang
48601,姹紫嫣红,cha zi yan hong
48602,宗派主义,zong pai zhu yi
48603,保护层,bao hu ceng
48604,执纪,zhi ji
48605,唾手可得,tuo shou ke de
48606,原单,yuan dan
48607,间接融资,jian jie rong zi
48608,冠状病毒,guan zhuang bing du
48609,活化石,huo hua shi
48610,曾华,ceng hua
48611,榫,sun
48612,藏医,cang yi
48613,口若悬河,kou ruo xuan he
48614,嘉陵,jia ling
48615,光标,guang biao
48616,不远万里,bu yuan wan li
48617,比什凯克,bi shen kai ke
48618,优派,you pai
48619,精雕细琢,jing diao xi zuo
48620,宝鸡市,bao ji shi
48621,场外交易,chang wai jiao yi
48622,傧,bin
48623,不相容,bu xiang rong
48624,怡然,yi ran
48625,盛怒,sheng nu
48626,害臊,hai sao
48627,冤大头,yuan da tou
48628,门楣,men mei
48629,西口,xi kou
48630,阿德莱德,a de lai de
48631,枯草,ku cao
48632,七上八下,qi shang ba xia
48633,核辐射,he fu she
48634,房室结,fang shi jie
48635,靳,jin
48636,绝对化,jue dui hua
48637,投料,tou liao
48638,退走,tui zou
48639,岁末年初,sui mo nian chu
48640,星相,xing xiang
48641,贪睡,tan shui
48642,硬结,ying jie
48643,无病呻吟,wu bing shen yin
48644,网眼,wang yan
48645,过心,guo xin
48646,通婚,tong hun
48647,张智霖,zhang zhi lin
48648,拥护者,yong hu zhe
48649,金桥瑞,jin qiao rui
48650,严复,yan fu
48651,中焦,zhong jiao
48652,王老,wang lao
48653,富士山,fu shi shan
48654,凉城,liang cheng
48655,阴蒂,yin di
48656,小夏,xiao xia
48657,墨索里尼,mo suo li ni
48658,文法,wen fa
48659,大总统,da zong tong
48660,苕,shao
48661,来一场,lai yi chang
48662,象形,xiang xing
48663,装甲兵,zhuang jia bing
48664,左右逢源,zuo you feng yuan
48665,斯威夫特,si wei fu te
48666,参透,can tou
48667,强加于,qiang jia yu
48668,树敌,shu di
48669,张韬,zhang tao
48670,粉碎机,fen sui ji
48671,美国式,mei guo shi
48672,唱词,chang ci
48673,宁夏日报,ning xia ri bao
48674,合意,he yi
48675,嫠,li
48676,酣畅,han chang
48677,石俊,shi jun
48678,带班,dai ban
48679,雨过天晴,yu guo tian qing
48680,越境,yue jing
48681,亚基,ya ji
48682,高价值,gao jia zhi
48683,输油管,shu you guan
48684,诀别,jue bie
48685,淅淅沥沥,xi xi li li
48686,虚线,xu xian
48687,毛里塔尼亚,mao li ta ni ya
48688,旁听席,pang ting xi
48689,感人肺腑,gan ren fei fu
48690,缓行,huan xing
48691,孤军奋战,gu jun fen zhan
48692,南苑,nan yuan
48693,郑中基,zheng zhong ji
48694,桥东,qiao dong
48695,结怨,jie yuan
48696,有教养,you jiao yang
48697,九鼎,jiu ding
48698,慢镜头,man jing tou
48699,领航员,ling hang yuan
48700,蒙蒙亮,meng meng liang
48701,顺应性,shun ying xing
48702,地方法院,di fang fa yuan
48703,毫不在乎,hao bu zai hu
48704,龙套,long tao
48705,同性恋者,tong xing lian zhe
48706,乌纱帽,wu sha mao
48707,莫里斯,mo li si
48708,榨取,zha qu
48709,铜器,tong qi
48710,大吵大闹,da chao da nao
48711,食道癌,shi dao ai
48712,包装箱,bao zhuang xiang
48713,税则,shui ze
48714,白说,bai shuo
48715,暖气片,nuan qi pian
48716,置身事外,zhi shen shi wai
48717,吾辈,wu bei
48718,徐匡迪,xu kuang di
48719,皮诺切特,pi nuo qie te
48720,欧宝,ou bao
48721,肥美,fei mei
48722,谢家,xie jia
48723,名列榜首,ming lie bang shou
48724,老宋,lao song
48725,科第,ke di
48726,喝令,he ling
48727,一长串,yi chang chuan
48728,查办案件,cha ban an jian
48729,制革,zhi ge
48730,费钱,fei qian
48731,乘风破浪,cheng feng po lang
48732,爱憎分明,ai zeng fen ming
48733,狄仁杰,di ren jie
48734,显要,xian yao
48735,钟丽缇,zhong li ti
48736,顶礼,ding li
48737,最小值,zui xiao zhi
48738,后悔药,hou hui yao
48739,举国上下,ju guo shang xia
48740,一挂,yi gua
48741,构型,gou xing
48742,奉节,feng jie
48743,京西,jing xi
48744,雪水,xue shui
48745,工程处,gong cheng chu
48746,劵,juan
48747,剪报,jian bao
48748,亲嘴,qin zui
48749,苦思,ku si
48750,行色匆匆,xing se cong cong
48751,涿州,zhuo zhou
48752,病源,bing yuan
48753,饭桶,fan tong
48754,油膏,you gao
48755,空载,kong zai
48756,黔西南州,qian xi nan zhou
48757,箸,zhu
48758,土特产品,tu te chan pin
48759,海信集团,hai xin ji tuan
48760,策略性,ce lve xing
48761,谈古论今,tan gu lun jin
48762,神经症,shen jing zheng
48763,风势,feng shi
48764,换货,huan huo
48765,火葬,huo zang
48766,气促,qi cu
48767,挑花,tiao hua
48768,跹,xian
48769,乳牙,ru ya
48770,实实,shi shi
48771,贺兰山,he lan shan
48772,分分秒秒,fen fen miao miao
48773,尽速,jin su
48774,画外音,hua wai yin
48775,春茶,chun cha
48776,查禁,cha jin
48777,战俘营,zhan fu ying
48778,街灯,jie deng
48779,白河,bai he
48780,航母战斗群,hang mu zhan dou qun
48781,亳州,bo zhou
48782,鸡胸,ji xiong
48783,贺年,he nian
48784,书局,shu ju
48785,氯酸,lv suan
48786,壁灯,bi deng
48787,牙关,ya guan
48788,见天,jian tian
48789,劈头盖脸,pi tou gai lian
48790,宣城,xuan cheng
48791,小伤,xiao shang
48792,马蜂窝,ma feng wo
48793,马老师,ma lao shi
48794,徐汝愚,xu ru yu
48795,第二十七条,di er shi qi tiao
48796,量词,liang ci
48797,调笑,tiao xiao
48798,翁美玲,weng mei ling
48799,一纸空文,yi zhi kong wen
48800,岗哨,gang shao
48801,庙堂,miao tang
48802,埃尔斯,ai er si
48803,王兆文,wang zhao wen
48804,毛毛雨,mao mao yu
48805,心里头,xin li tou
48806,花枝招展,hua zhi zhao zhan
48807,激情澎湃,ji qing peng pai
48808,孵出,fu chu
48809,硷,jian
48810,毛群安,mao qun an
48811,阿诺德,a nuo de
48812,万象城,wan xiang cheng
48813,番号,fan hao
48814,大陆架,da lu jia
48815,沈鹰,shen ying
48816,趁火打劫,chen huo da jie
48817,輝,hui
48818,褒扬,bao yang
48819,比利,bi li
48820,大惑不解,da huo bu jie
48821,道袍,dao pao
48822,暝,ming
48823,乌合之众,wu he zhi zhong
48824,纪年,ji nian
48825,人所共知,ren suo gong zhi
48826,友军,you jun
48827,合璧,he bi
48828,蛮干,man gan
48829,扩散扩散,kuo san kuo san
48830,格律,ge lv
48831,正史,zheng shi
48832,净白,jing bai
48833,笑纳,xiao na
48834,剜,wan
48835,罗丹,luo dan
48836,缢,yi
48837,韩红,han hong
48838,昏天黑地,hun tian hei di
48839,洗洁精,xi jie jing
48840,竹简,zhu jian
48841,甘南,gan nan
48842,隗,kui
48843,形变,xing bian
48844,屠刀,tu dao
48845,胃肠炎,wei chang yan
48846,打架斗殴,da jia dou ou
48847,百事通,bai shi tong
48848,域外,yu wai
48849,铁石心肠,tie shi xin chang
48850,金王,jin wang
48851,对角,dui jiao
48852,林之锋,lin zhi feng
48853,传达室,chuan da shi
48854,酱菜,jiang cai
48855,不称,bu cheng
48856,临战,lin zhan
48857,皮囊,pi nang
48858,退兵,tui bing
48859,谚,yan
48860,相异,xiang yi
48861,新茶,xin cha
48862,经略,jing lve
48863,李玉,li yu
48864,那阵,na zhen
48865,石兆彬,shi zhao bin
48866,清朗,qing lang
48867,比色法,bi se fa
48868,维森特,wei sen te
48869,西端,xi duan
48870,为恶,wei e
48871,脱臼,tuo jiu
48872,图尔,tu er
48873,第二十六条,di er shi liu tiao
48874,赵敏,zhao min
48875,交头接耳,jiao tou jie er
48876,赋闲,fu xian
48877,图版,tu ban
48878,肃反,su fan
48879,店伙,dian huo
48880,夏洛克,xia luo ke
48881,数据管理,shu ju guan li
48882,东岳,dong yue
48883,亲率,qin lv
48884,嘔,ou
48885,胶原酶,jiao yuan mei
48886,花果山,hua guo shan
48887,自由港,zi you gang
48888,鼬,you
48889,内联,nei lian
48890,卫生署,wei sheng shu
48891,时态,shi tai
48892,绍兴县,shao xing xian
48893,警报器,jing bao qi
48894,徒劳无功,tu lao wu gong
48895,大环,da huan
48896,杨子荣,yang zi rong
48897,厦门海关,xia men hai guan
48898,提审,ti shen
48899,倒茶,dao cha
48900,南风,nan feng
48901,张经理,zhang jing li
48902,沙俄,sha e
48903,张闻天,zhang wen tian
48904,伏兵,fu bing
48905,奏凯,zou kai
48906,以退为进,yi tui wei jin
48907,社会名流,she hui ming liu
48908,深入骨髓,shen ru gu sui
48909,买账,mai zhang
48910,获得性,huo de xing
48911,改期,gai qi
48912,巴人,ba ren
48913,凤山,feng shan
48914,地方病,di fang bing
48915,小苗,xiao miao
48916,溶质,rong zhi
48917,欣欣,xin xin
48918,厚颜无耻,hou yan wu chi
48919,鬼火,gui huo
48920,粗蛋白,cu dan bai
48921,立夏,li xia
48922,撈,lao
48923,醉鬼,zui gui
48924,善本,shan ben
48925,售楼部,shou lou bu
48926,语言学家,yu yan xue jia
48927,私语,si yu
48928,荆轲,jing ke
48929,刘辉,liu hui
48930,纤长,xian chang
48931,出租人,chu zu ren
48932,法度,fa du
48933,永定,yong ding
48934,市辖区,shi xia qu
48935,专业村,zhuan ye cun
48936,蓿,xu
48937,临头,lin tou
48938,证券投资者,zheng quan tou zi zhe
48939,土地证,tu di zheng
48940,滴定,di ding
48941,千头万绪,qian tou wan xu
48942,坐享其成,zuo xiang qi cheng
48943,独角兽,du jiao shou
48944,下药,xia yao
48945,恩德,en de
48946,嘗,chang
48947,胡凯,hu kai
48948,狂想曲,kuang xiang qu
48949,发送量,fa song liang
48950,廖某,liao mou
48951,河北区,he bei qu
48952,蔚为壮观,wei wei zhuang guan
48953,弄不清,nong bu qing
48954,幕布,mu bu
48955,机耕,ji geng
48956,外推,wai tui
48957,贬义,bian yi
48958,类同,lei tong
48959,老谢,lao xie
48960,演武,yan wu
48961,旅游鞋,lv you xie
48962,花莲,hua lian
48963,贻,yi
48964,分一杯羹,fen yi bei geng
48965,尿失禁,niao shi jin
48966,光耀,guang yao
48967,搭售,da shou
48968,虚惊一场,xu jing yi chang
48969,飞掠,fei lve
48970,舌战群儒,she zhan qun ru
48971,搞砸,gao za
48972,滚珠,gun zhu
48973,真性,zhen xing
48974,失水,shi shui
48975,岳阳市,yue yang shi
48976,艏,shou
48977,织田,zhi tian
48978,莘莘学子,shen shen xue zi
48979,屡试不爽,lv shi bu shuang
48980,刀架,dao jia
48981,愚人,yu ren
48982,石龙,shi long
48983,港姐,gang jie
48984,宋慧乔,song hui qiao
48985,劬,qu
48986,绝口不提,jue kou bu ti
48987,绵阳市,mian yang shi
48988,肩周炎,jian zhou yan
48989,牛鼻子,niu bi zi
48990,楼台,lou tai
48991,选料,xuan liao
48992,加索尔,jia suo er
48993,广而告之,guang er gao zhi
48994,捕快,bu kuai
48995,舳,zhu
48996,尖刻,jian ke
48997,溝,gou
48998,比例失调,bi li shi tiao
48999,段天,duan tian
49000,排遣,pai qian
49001,最新型,zui xin xing
49002,海协,hai xie
49003,朱浩,zhu hao
49004,竹签,zhu qian
49005,礼数,li shu
49006,金川,jin chuan
49007,李卫东,li wei dong
49008,午宴,wu yan
49009,晶亮,jing liang
49010,伪证,wei zheng
49011,武装侵略,wu zhuang qin lve
49012,夏花,xia hua
49013,收容所,shou rong suo
49014,孤陋寡闻,gu lou gua wen
49015,便士,bian shi
49016,发颤,fa chan
49017,乐和,le he
49018,铸型,zhu xing
49019,杂耍,za shua
49020,无阻,wu zu
49021,苏哈托,su ha tuo
49022,世情,shi qing
49023,唠嗑,lao ke
49024,中信集团,zhong xin ji tuan
49025,张维,zhang wei
49026,头昏眼花,tou hun yan hua
49027,之役,zhi yi
49028,组态,zu tai
49029,鸫,dong
49030,暗里,an li
49031,阿布扎比,a bu zha bi
49032,雷克萨斯,lei ke sa si
49033,孺,ru
49034,忻州,xin zhou
49035,轻舟,qing zhou
49036,应激性,ying ji xing
49037,调查局,diao cha ju
49038,合流,he liu
49039,王兵,wang bing
49040,彭荃,peng quan
49041,沈青,shen qing
49042,吹毛求疵,chui mao qiu ci
49043,缆绳,lan sheng
49044,总机,zong ji
49045,祖父母,zu fu mu
49046,眉眼传情,mei yan chuan qing
49047,科特布斯,ke te bu si
49048,春华,chun hua
49049,领跌,ling die
49050,容错,rong cuo
49051,尚家,shang jia
49052,万古,wan gu
49053,抗病性,kang bing xing
49054,笃信,du xin
49055,螺母,luo mu
49056,养料,yang liao
49057,踉,liang
49058,千分之一,qian fen zhi yi
49059,钢梁,gang liang
49060,第十七次,di shi qi ci
49061,附设,fu she
49062,丘成桐,qiu cheng tong
49063,感受器,gan shou qi
49064,绒线,rong xian
49065,黄狗,huang gou
49066,踞,ju
49067,活思想,huo si xiang
49068,甚佳,shen jia
49069,万宝路,wan bao lu
49070,李大爷,li da ye
49071,凌迟,ling chi
49072,王光亚,wang guang ya
49073,超级杯,chao ji bei
49074,电磁场,dian ci chang
49075,第四步,di si bu
49076,恶棍,e gun
49077,大豆油,da dou you
49078,粟裕,su yu
49079,作别,zuo bie
49080,排档,pai dang
49081,相似度,xiang si du
49082,兼程,jian cheng
49083,输光,shu guang
49084,凯恩斯,kai en si
49085,南京地区,nan jing di qu
49086,媒婆,mei po
49087,哀号,ai hao
49088,兴黔,xing qian
49089,水杨酸,shui yang suan
49090,冯剑明,feng jian ming
49091,陈萧,chen xiao
49092,射雕英雄,she diao ying xiong
49093,蔼,ai
49094,聚宝盆,ju bao pen
49095,滩地,tan di
49096,气雾,qi wu
49097,谈天论地,tan tian lun di
49098,豕,shi
49099,住院费,zhu yuan fei
49100,刘方仁,liu fang ren
49101,砍倒,kan dao
49102,老叶,lao ye
49103,内酯,nei zhi
49104,黄褐色,huang he se
49105,病原学,bing yuan xue
49106,龚睿,gong rui
49107,沈阳金德队,shen yang jin de dui
49108,蛱,jia
49109,平江,ping jiang
49110,汕头大学,shan tou da xue
49111,包饭,bao fan
49112,苍术,cang zhu
49113,反射性,fan she xing
49114,见利忘义,jian li wang yi
49115,中程,zhong cheng
49116,工具箱,gong ju xiang
49117,莫吉,mo ji
49118,私处,si chu
49119,开沟,kai gou
49120,李晓,li xiao
49121,撇撇嘴,pie pie zui
49122,左思右想,zuo si you xiang
49123,加热器,jia re qi
49124,沙坪坝区,sha ping ba qu
49125,有头脑,you tou nao
49126,齐家,qi jia
49127,同流合污,tong liu he wu
49128,族裔,zu yi
49129,黑土,hei tu
49130,计时器,ji shi qi
49131,叶莉,ye li
49132,常青树,chang qing shu
49133,妖媚,yao mei
49134,排挡,pai dang
49135,量子力学,liang zi li xue
49136,湘潭县,xiang tan xian
49137,上海机场,shang hai ji chang
49138,心宽,xin kuan
49139,自来水厂,zi lai shui chang
49140,东兴,dong xing
49141,老生常谈,lao sheng chang tan
49142,德方,de fang
49143,硝基苯,xiao ji ben
49144,飞黄腾达,fei huang teng da
49145,拔腿,ba tui
49146,温乐阳,wen le yang
49147,敷料,fu liao
49148,水旱,shui han
49149,麦芽糖,mai ya tang
49150,步履蹒跚,bu lv pan shan
49151,尖兵,jian bing
49152,勤俭建国,qin jian jian guo
49153,调色,tiao se
49154,盘腿,pan tui
49155,岁月不饶人,sui yue bu rao ren
49156,周益乐,zhou yi le
49157,清道夫,qing dao fu
49158,摇杆,yao gan
49159,着法,zhao fa
49160,同档次,tong dang ci
49161,床罩,chuang zhao
49162,辔,pei
49163,摄像师,she xiang shi
49164,糊糊,hu hu
49165,抗原性,kang yuan xing
49166,吴承瑛,wu cheng ying
49167,台湾大学,tai wan da xue
49168,阴暗面,yin an mian
49169,嵛,yu
49170,殉职,xun zhi
49171,卡里,ka li
49172,单行本,dan xing ben
49173,范某,fan mou
49174,煤炉,mei lu
49175,荏苒,ren ran
49176,沙姆沙伊赫,sha mu sha yi he
49177,盛衰,sheng shuai
